t,root_x,root_y,root_z,action_min,action_max,action_mean
1.7220,0.795261,-0.085034,0.831499,-1.300792,1.085047,-0.050505
1.7420,0.807553,-0.087089,0.834032,-1.365563,1.471847,-0.058991
1.7620,0.819656,-0.088934,0.836280,-1.493377,1.671598,-0.065634
1.7820,0.831680,-0.090487,0.838199,-1.520750,1.636237,-0.068240
1.8020,0.843749,-0.091754,0.839846,-1.512369,1.451220,-0.063969
1.8220,0.855955,-0.092685,0.841220,-1.546580,1.125366,-0.064515
1.8420,0.868202,-0.093303,0.842485,-1.575914,0.742588,-0.053466
1.8620,0.880627,-0.093669,0.843866,-1.646231,0.746454,-0.044879
1.8820,0.893302,-0.093818,0.845454,-1.698912,0.927332,-0.043192
1.9020,0.906227,-0.093775,0.847087,-1.782765,1.024412,-0.043410
1.9220,0.919439,-0.093469,0.848465,-1.792626,1.053342,-0.041440
1.9420,0.933002,-0.092819,0.849402,-1.725921,1.029047,-0.030640
1.9620,0.946923,-0.091778,0.849759,-1.556168,0.932292,-0.014387
1.9820,0.961161,-0.090299,0.849258,-1.278859,0.855199,0.010406
2.0020,0.975640,-0.088271,0.847558,-0.997069,0.918725,0.050153
2.0220,0.990409,-0.085540,0.844191,-1.139122,1.014104,0.076160
2.0420,1.005567,-0.082585,0.839173,-1.281010,1.380885,0.015100
2.0620,1.019398,-0.081669,0.837435,-1.464279,1.765584,-0.075945
2.0820,1.032241,-0.081107,0.838765,-1.273758,1.590276,-0.040272
2.1020,1.044543,-0.080397,0.841813,-1.129938,1.203159,-0.016272
2.1220,1.056299,-0.079747,0.845524,-1.048549,1.131448,0.009395
2.1420,1.067716,-0.079116,0.849055,-0.885166,1.319251,0.014502
2.1620,1.078914,-0.078464,0.851696,-0.942322,1.254057,0.018646
2.1820,1.089544,-0.078054,0.852796,-1.155431,1.131917,0.016898
2.2020,1.099589,-0.078353,0.851537,-1.199656,1.580759,0.032308
2.2220,1.109449,-0.079611,0.846952,-1.138599,1.428373,0.008359
2.2420,1.119430,-0.080678,0.840000,-1.290560,1.313453,-0.042585
2.2620,1.129546,-0.079466,0.836023,-1.414651,1.335096,-0.074082
2.2820,1.140711,-0.078267,0.834963,-1.446991,1.251018,-0.090886
2.3020,1.152864,-0.077303,0.836027,-1.375153,0.865784,-0.091690
2.3220,1.165718,-0.076324,0.838271,-1.447455,0.629178,-0.068372
2.3420,1.178677,-0.075211,0.840836,-1.494617,0.602814,-0.050455
2.3620,1.191418,-0.073867,0.843165,-1.518610,0.568787,-0.032604
2.3820,1.203998,-0.072113,0.844806,-1.476859,0.755823,-0.005826
2.4020,1.216629,-0.069760,0.845243,-1.259600,1.057972,0.036637
2.4220,1.229459,-0.066709,0.844165,-0.747852,1.254946,0.081751
2.4420,1.242770,-0.062985,0.841007,-0.712446,1.481421,0.119615
2.4620,1.255927,-0.058818,0.835620,-1.095459,1.912141,0.054629
2.4820,1.267053,-0.056811,0.832414,-1.574801,2.497332,0.034906
2.5020,1.277938,-0.055342,0.831036,-1.830257,3.297874,0.059001
2.5220,1.289236,-0.053807,0.830202,-1.913745,4.063115,0.075610
2.5420,1.300818,-0.052433,0.829307,-2.053282,4.923275,0.105127
2.5620,1.312483,-0.051364,0.827859,-2.110252,5.441776,0.107629
2.5820,1.324062,-0.050565,0.826124,-2.219006,5.583388,0.094517
2.6020,1.335792,-0.050180,0.824873,-2.393548,5.500797,0.058426
2.6220,1.348016,-0.050377,0.824586,-2.426209,5.357633,0.026763
2.6420,1.361080,-0.051095,0.825550,-2.257834,4.894063,-0.019074
2.6620,1.375203,-0.052173,0.828163,-1.885684,4.012438,-0.041791
2.6820,1.390224,-0.053269,0.832975,-1.956805,2.916838,-0.037973
2.7020,1.405477,-0.054137,0.840023,-2.027173,2.711626,-0.007062
2.7220,1.420288,-0.055502,0.848746,-2.034004,3.204251,0.029151
2.7420,1.434953,-0.057798,0.858547,-2.006542,3.499035,0.044060
2.7620,1.450241,-0.060580,0.868860,-1.812950,3.809389,0.045528
2.7820,1.466424,-0.064092,0.879537,-1.357418,4.363100,0.060434
2.8020,1.482639,-0.068346,0.891882,-0.890409,4.602549,0.075497
2.8220,1.499547,-0.074258,0.905009,-0.717766,3.653716,0.157872
2.8420,1.516397,-0.081189,0.916732,-0.670577,1.674158,0.241350
2.8620,1.528731,-0.086777,0.928437,-0.833984,3.135578,0.215289
2.8820,1.539873,-0.092024,0.940279,-0.799859,3.702498,0.152942
2.9020,1.551209,-0.096913,0.952079,-0.931233,4.247739,0.111675
2.9220,1.562492,-0.101415,0.963914,-1.025744,5.062558,0.147884
2.9420,1.573559,-0.105473,0.975603,-1.165497,5.676220,0.182576
2.9620,1.584346,-0.109012,0.987089,-1.280389,5.443494,0.192185
2.9820,1.594942,-0.112621,0.998086,-1.635327,4.933038,0.146110
3.0020,1.606017,-0.116910,1.006780,-1.792701,4.699325,0.084746
3.0220,1.617198,-0.121284,1.011875,-1.838639,4.821302,0.073767
3.0420,1.628530,-0.125311,1.013712,-1.689410,5.314854,0.128933
3.0620,1.638965,-0.127737,1.014346,-1.604116,5.502784,0.159880
3.0820,1.649215,-0.128564,1.015859,-1.513545,5.049349,0.130295
3.1020,1.660126,-0.129054,1.018909,-1.561593,4.337555,0.089343
3.1220,1.671379,-0.129946,1.023071,-1.638825,3.843157,0.087086
3.1420,1.682477,-0.131114,1.027289,-1.683812,3.651008,0.104619
3.1620,1.693682,-0.132127,1.030680,-1.715439,3.534271,0.128512
3.1820,1.704991,-0.132477,1.033365,-1.730179,3.410731,0.149642
3.2020,1.716531,-0.132300,1.035670,-1.646551,3.066247,0.152104
3.2220,1.728240,-0.131839,1.038018,-1.549423,2.670793,0.148151
3.2420,1.739894,-0.131261,1.040608,-1.552566,2.391902,0.139440
3.2620,1.751672,-0.130709,1.042993,-1.634313,2.277327,0.126568
3.2820,1.763674,-0.129973,1.044703,-1.732750,2.308545,0.115398
3.3020,1.775556,-0.129440,1.045987,-1.747762,2.710607,0.126943
3.3220,1.786621,-0.129574,1.048162,-1.674367,3.220253,0.147331
3.3420,1.797281,-0.129818,1.051599,-1.504877,3.699605,0.162234
3.3620,1.807819,-0.129986,1.056687,-1.274496,4.111546,0.178829
3.3820,1.818337,-0.130241,1.063617,-1.259955,4.393817,0.190874
3.4020,1.828770,-0.130862,1.072103,-1.278918,4.497830,0.191635
3.4220,1.838930,-0.131605,1.082169,-1.250830,4.694933,0.200024
3.4420,1.849328,-0.132089,1.093895,-1.129961,4.784329,0.213763
3.4620,1.860077,-0.131913,1.106892,-0.931865,4.734611,0.218246
3.4820,1.870997,-0.130970,1.120505,-0.839458,3.469970,0.190658
3.5020,1.882055,-0.129299,1.132821,-1.044196,2.310228,0.135154
3.5220,1.892865,-0.127833,1.143021,-1.097970,3.323807,0.112023
